ticker,annual_return,annual_vol,skewness,kurtosis,is_normal_p
AAPL,,,,,
ABBV,,,,,
ABT,,,,,
ACN,,,,,
AMGN,,,,,
AMZN,,,,,
AVGO,,,,,
BAC,,,,,
BLK,,,,,
BRK-B,,,,,
CAT,,,,,
COST,,,,,
CRM,,,,,
CSCO,,,,,
CVX,,,,,
DHR,,,,,
GE,,,,,
GOOGL,,,,,
GS,,,,,
HD,,,,,
IBM,,,,,
INTU,,,,,
ISRG,,,,,
JNJ,,,,,
JPM,,,,,
KO,,,,,
LIN,,,,,
LLY,,,,,
MA,,,,,
MCD,,,,,
META,,,,,
MRK,,,,,
MS,,,,,
MSFT,,,,,
NEE,,,,,
NFLX,,,,,
NOW,,,,,
NVDA,,,,,
PEP,,,,,
PG,,,,,
PM,,,,,
RTX,,,,,
SPGI,,,,,
TMO,,,,,
TSLA,,,,,
TXN,,,,,
UNH,,,,,
V,,,,,
WMT,,,,,
XOM,,,,,
